Seccion Nro;Seccion Nombre;Circuito Nro;Circuito Nombre;Escuela;Mesas;Desde;Hasta;Electores
1;CAPITAL;7C;CNO. A PAJAS BLANCAS;ESC J NEWBERY - MATIENZO 5895 B°J NEWBERY;1;739;739;11
2;CALAMUCHITA;16B;CHAMPAQUI;ESC.PROV. F.AMEGHINO - CHAMPAQUI;1;3189;3189;12
26;UNION;397A;CORRAL DEL BAJO;ESCUELA VALENTIN ALSINA - CORRAL DEL BAJO;1;8397;8397;13
25;TULUMBA;365;LAS MASITAS;ESC LUIS E JUNCOS(EX NAC 212) - LAS MASITAS;1;8117;8117;16
13;RIO CUARTO;173;LA ARGENTINA;ESC JOSE DE SAN MARTIN - CALLE PUBLICA;1;5735;5735;17
16;RIO SEGUNDO;242A;CAÑADA DE MACHADO SUD;ESC MARIANO MORENO - CAÑADA DE MACHADO SUD;1;6509;6509;17
26;UNION;379;CARCANO;ESC.PROV.A.M.ZUMARAN D CARCANO - PUBLICA;1;8269;8269;17
5;GENERAL ROCA;65;LECUEDER;ESC PROV MANUEL BELGRANO - PUBLICA S/N;1;4156;4156;18
18;SAN ALBERTO;263B;LOS CERROS;ESC PROV CEFERINO NAMUNCURA - PUBLICA S/N;1;6760;6760;20
18;SAN ALBERTO;259;ALTAUTINA;ESC.PROV.M.DE AZCUENAGA - PUBLICA;1;6702;6702;21
20;SAN JUSTO;312;SAUZE;ESC.PROV.J.DE SAN MARTIN - SAUZE;1;7462;7462;22
7;ISCHILIN;91A;CANTERAS;ESC.PROV.J.V.RECLA - CANTERAS;1;4522;4522;23
9;MARCOS JUAREZ;131A;VILLA ELISA;ESCUELA VICTORIA OCAMPO - VILLA ELISA;1;4924;4924;26
10;MINAS;138A;RUMIACO;ESC MIGUEL DE AZCUENAGA - RUMIACO;1;5032;5032;27
21;SANTA MARIA;320;BUENA VISTA;OLEGARIO V ANDRADE (CIRC 322) - PUBLICA S/N -COSME NORTE;1;7647;7647;27
25;TULUMBA;370A;LA CAÑADA;ESC PROV MANUEL DORREGO - PUBLICA S/N;1;8129;8129;28
19;SAN JAVIER;269B;EL MANANTIAL;ESC PROV JUAN JOSE PASO - RUTA NACIONAL 148 S/N;1;6898;6898;29
4;CRUZ DEL EJE;53;SAN ANTONIO;ESC.PROV. BME. MITRE - PUBLICA;1;4054;4054;31
2;CALAMUCHITA;16A;VILLA LA MERCED;ESCUELA N° 404 - VILLA LA MERCED;1;3188;3188;34
18;SAN ALBERTO;260A;EL VOLCAN;ESC PROV JUAN P PRINGLES - PUBLICA S/N;1;6706;6706;35
