provincia,votos_total,porc_electores_nacional,votos_blanco,votos_positivos,codigo,mesas,votos_anulados,porc_voto,electores
CABA,1883050,7.96,36114,1831997,1,7366,14939,73.81,2551306
Buenos Aires,9135239,36.99,457240,8612616,2,34638,65383,77.01,11861894
Catamarca,219455,0.92,26037,192313,3,923,1105,74.61,294143
Córdoba,1985822,8.7,44888,1916925,4,8412,24009,71.2,2789055
Corrientes,605900,2.53,25418,575187,5,2403,5295,74.74,810712
Chaco,621412,2.7,15914,601981,6,2557,3517,71.87,864683
Chubut,318754,1.3,76930,235302,7,1243,6522,76.5,416652
Entre Ríos,835768,3.22,103212,723413,8,3118,9143,81.06,1031024
Formosa,306682,1.32,9154,295078,9,1309,2450,72.72,421702
Jujuy,394610,1.6,15200,374429,10,1584,4981,77.13,511624
La Pampa,213552,0.86,9179,201980,11,830,2393,77.87,274248
La Rioja,178473,0.84,7974,168831,12,873,1668,66.34,269047
Mendoza,1071897,4.25,49465,1006217,13,3997,16215,78.59,1363969
Misiones,650907,2.65,27190,617225,14,2481,6492,76.47,851144
Neuquén,376593,1.47,42212,324361,15,1427,10020,80.09,470217
Río Negro,377620,1.6,11628,358940,16,1535,7052,73.67,512587
Salta,643287,2.98,22510,613847,17,2898,6930,67.26,956439
San Juan,430869,1.67,31265,395657,18,1607,3947,80.3,536604
San Luis,291851,1.12,41913,245976,19,1131,3962,81.46,358271
Santa Cruz,171806,0.74,3937,164287,20,811,3582,72.33,237523
Santa Fe,1805363,8.38,98878,1668250,21,7935,38235,67.19,2687061
Santiago del Estero,481868,2.18,12121,467574,22,2123,2173,68.89,699513
Tucumán,928154,3.65,45188,871637,23,3475,11329,79.24,1171255
Tierra del Fuego,92884,0.4,3067,87053,24,435,2764,73.16,126968
Total nacional,24021816,100.0,1216634,22551076,99,95111,254106,74.91,32067641
